# stan_version_major = 2
# stan_version_minor = 24
# stan_version_patch = 0
# model = simple_bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 2
# data
#   file = data/simple-bernoulli.json
# init = 2 (Default)
# random
#   seed = 3649689744 (Default)
# output
#   file = data/simple-bernoulli_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.98132
# Diagonal elements of inverse mass matrix:
# 0.51542
-6.9013,0.974107,0.98132,1,3,0,6.9043,0.185389
-7.56242,0.840296,0.98132,1,3,0,7.99955,0.426732
-7.56242,0.0916911,0.98132,1,1,0,11.8867,0.426732
-7.56242,0.150987,0.98132,1,1,0,10.9365,0.426732
-7.6017,0.714007,0.98132,2,3,0,9.43575,0.114144
-7.26652,1,0.98132,2,3,0,7.57813,0.139024
-6.80727,1,0.98132,2,3,0,7.14762,0.294581
-10.2243,0.432374,0.98132,1,3,0,10.2958,0.624314
-7.27532,1,0.98132,2,3,0,9.17109,0.390258
-6.76294,1,0.98132,1,3,0,7.1302,0.271997
-6.77862,0.995344,0.98132,1,1,0,6.78074,0.281739
-6.91723,0.9816,0.98132,2,3,0,6.91747,0.326942
-6.8132,1,0.98132,1,1,0,6.89209,0.296831
-6.78682,1,0.98132,1,1,0,6.8126,0.28585
-6.79772,0.957856,0.98132,2,3,0,6.98851,0.290716
-7.49411,0.785707,0.98132,1,3,0,7.99594,0.121173
-7.17777,1,0.98132,1,1,0,7.46331,0.147525
-6.77829,0.925809,0.98132,2,3,0,7.73754,0.281559
-6.9177,0.981436,0.98132,2,3,0,6.9179,0.327052
-7.24458,0.89518,0.98132,1,1,0,7.26659,0.385853
-6.74951,1,0.98132,1,3,0,7.17531,0.243218
-6.75124,0.987385,0.98132,2,3,0,6.82199,0.240061
-7.74414,0.777342,0.98132,1,3,0,8.05133,0.10585
-7.46643,1,0.98132,1,1,0,7.76941,0.123108
-8.00012,0.974937,0.98132,2,3,0,8.02428,0.0931732
-6.84553,1,0.98132,1,3,0,7.9152,0.197684
-6.8959,0.971998,0.98132,1,3,0,7.09211,0.3217
-6.8959,0.226913,0.98132,1,3,0,11.6292,0.3217
-6.81572,1,0.98132,1,1,0,6.88084,0.297758
-7.45315,0.856318,0.98132,1,3,0,7.45362,0.413699
-8.59425,0.324343,0.98132,1,3,0,11.4654,0.0711166
-9.78226,0.904881,0.98132,1,1,0,9.79279,0.0438881
-8.45928,1,0.98132,2,3,0,9.66729,0.075437
-6.75244,0.923879,0.98132,1,3,0,8.66817,0.238372
-6.7713,0.993839,0.98132,1,3,0,6.78654,0.277592
-7.29125,0.845865,0.98132,1,3,0,7.59417,0.136838
-6.95854,1,0.98132,1,1,0,7.2264,0.175276
-6.75576,1,0.98132,1,3,0,6.92692,0.234665
-7.0037,0.80351,0.98132,2,3,0,8.0305,0.168425
-6.8012,1,0.98132,2,3,0,6.94855,0.292162
-7.02305,0.894555,0.98132,2,3,0,7.37711,0.165719
-7.15329,0.926115,0.98132,1,3,0,7.68902,0.371963
-7.15329,0.661528,0.98132,1,1,0,7.93329,0.371963
-6.78824,0.983427,0.98132,1,3,0,7.2336,0.215714
-6.87633,0.978743,0.98132,1,1,0,6.87679,0.190505
-6.77129,0.975502,0.98132,2,3,0,7.03859,0.277592
-6.77129,0.285202,0.98132,1,3,0,11.3929,0.277592
-7.18815,0.903178,0.98132,1,3,0,7.19404,0.377422
-6.80519,0.975695,0.98132,1,3,0,7.30891,0.2094
-8.46829,0.774388,0.98132,2,3,0,8.65577,0.0751377
-6.85761,0.948937,0.98132,1,3,0,9.22734,0.31132
-6.90066,0.986224,0.98132,1,1,0,6.92763,0.322898
-6.90066,0.56623,0.98132,1,3,0,9.21002,0.322898
-6.83702,1,0.98132,2,3,0,6.8984,0.30503
-7.44417,0.816803,0.98132,1,1,0,7.44436,0.412587
-7.08521,1,0.98132,1,1,0,7.38861,0.360639
-7.31797,0.973957,0.98132,2,3,0,7.39931,0.39618
-7.521,0.929577,0.98132,1,1,0,7.68665,0.421896
-7.04537,0.875905,0.98132,1,3,0,8.1839,0.162742
-7.15331,0.978963,0.98132,1,1,0,7.19423,0.150077
-9.00754,0.809052,0.98132,1,3,0,9.21655,0.0597428
-8.15925,1,0.98132,1,1,0,8.9483,0.0864128
-7.36585,0.878673,0.98132,1,3,0,9.66012,0.402587
-7.51358,0.948133,0.98132,1,1,0,7.70262,0.421016
-6.7487,1,0.98132,1,3,0,7.3789,0.24542
-9.84033,0.550457,0.98132,2,3,0,9.87176,0.0429157
-9.69979,1,0.98132,1,1,0,10.1472,0.0453137
-8.56388,1,0.98132,1,1,0,9.6165,0.0720593
-6.8608,1,0.98132,2,3,0,8.11086,0.312243
-7.01271,0.951457,0.98132,1,1,0,7.02999,0.347354
-6.75406,0.938777,0.98132,2,3,0,7.31666,0.263899
-7.19061,0.755943,0.98132,2,3,0,8.22175,0.146225
-7.58538,0.93431,0.98132,1,1,0,7.60164,0.115163
-6.82401,0.88705,0.98132,2,3,0,8.46082,0.300703
-7.20056,0.941521,0.98132,2,3,0,7.20378,0.145235
-6.90779,0.966275,0.98132,2,3,0,7.58135,0.324662
-6.92766,0.993511,0.98132,1,1,0,6.9742,0.329393
-8.849,0.371557,0.98132,1,3,0,10.8817,0.063809
-7.44568,0.944575,0.98132,1,3,0,8.68634,0.124595
-8.85236,0.83558,0.98132,1,3,0,8.88612,0.0637193
-6.99065,0.999782,0.98132,2,3,0,8.8121,0.170322
-6.82557,1,0.98132,1,1,0,6.95312,0.203053
-6.79305,1,0.98132,1,1,0,6.82318,0.213794
-6.85096,0.819014,0.98132,2,3,0,8.01669,0.196333
-6.76768,0.992562,0.98132,2,3,0,6.9125,0.225779
-6.8919,0.801093,0.98132,2,3,0,8.01949,0.187254
-6.76642,1,0.98132,1,3,0,6.86316,0.226549
-6.7504,1,0.98132,1,3,0,6.76228,0.241451
-7.02481,0.95017,0.98132,2,3,0,7.10219,0.165479
-7.10396,0.934085,0.98132,1,3,0,7.62658,0.363855
-6.84837,0.959241,0.98132,1,3,0,7.32623,0.196972
-6.75896,1,0.98132,1,3,0,6.8278,0.231819
-6.79342,0.988433,0.98132,1,3,0,6.82657,0.288861
-7.50041,0.562084,0.98132,2,3,0,9.24776,0.419445
-7.9748,0.840196,0.98132,1,1,0,8.1794,0.469606
-8.58335,0.797474,0.98132,1,1,0,8.94728,0.521218
-7.08379,1,0.98132,2,3,0,8.06582,0.360393
-6.93892,1,0.98132,1,1,0,7.07664,0.331967
-7.6152,0.791434,0.98132,1,1,0,7.62866,0.43273
-6.97108,0.904065,0.98132,1,3,0,8.11006,0.17329
-6.76232,0.993767,0.98132,2,3,0,7.01714,0.22927
-7.22869,0.920006,0.98132,2,3,0,7.36314,0.142515
-6.76626,0.914696,0.98132,2,3,0,7.94406,0.274363
-7.85222,0.712722,0.98132,1,3,0,8.45943,0.100189
-7.56196,1,0.98132,1,1,0,7.88666,0.116655
-7.36759,1,0.98132,2,3,0,7.60344,0.130507
-6.80212,0.879832,0.98132,2,3,0,9.53748,0.21046
-6.8156,0.996694,0.98132,1,1,0,6.82651,0.206025
-7.227,0.929278,0.98132,1,3,0,7.24263,0.142675
-6.75086,1,0.98132,2,3,0,7.20053,0.240656
-7.10258,0.918334,0.98132,1,3,0,7.171,0.155713
-8.36603,0.851325,0.98132,1,3,0,8.43427,0.0786307
-7.02019,0.837513,0.98132,2,3,0,9.77733,0.348795
-6.83142,0.967582,0.98132,1,3,0,7.20439,0.201407
-6.90419,0.983178,0.98132,1,1,0,6.91193,0.184829
-7.8011,0.868379,0.98132,1,3,0,7.86113,0.102805
-8.0995,0.962044,0.98132,1,1,0,8.20184,0.0888645
-8.56518,0.949541,0.98132,1,1,0,8.65677,0.0720186
-7.8999,1,0.98132,1,1,0,8.52508,0.0978417
-7.34659,1,0.98132,2,3,0,7.82696,0.13219
-7.50459,0.974304,0.98132,1,1,0,7.58323,0.120455
-7.8638,0.948502,0.98132,1,1,0,7.91917,0.0996111
-7.02752,0.980931,0.98132,1,3,0,7.72766,0.165111
-6.85367,0.981912,0.98132,2,3,0,7.22724,0.195673
-7.15714,0.95209,0.98132,1,3,0,7.15776,0.14967
-6.77888,0.967184,0.98132,1,3,0,7.28254,0.281877
-6.97687,0.931021,0.98132,1,3,0,7.14004,0.172395
-7.07392,0.939608,0.98132,1,3,0,7.51802,0.358663
-6.8231,0.969216,0.98132,1,3,0,7.24097,0.203767
-7.0136,0.957154,0.98132,1,1,0,7.01361,0.167025
-6.90973,1,0.98132,2,3,0,7.00848,0.183772
-6.85144,1,0.98132,1,1,0,6.90997,0.196217
-7.2056,0.902303,0.98132,1,3,0,7.49234,0.38008
-6.78952,1,0.98132,1,3,0,7.07331,0.28711
-6.75182,0.992713,0.98132,2,3,0,6.83285,0.261004
-6.76203,0.992982,0.98132,2,3,0,6.79089,0.22948
-6.88071,0.976046,0.98132,1,3,0,6.88453,0.189569
-6.90141,0.995314,0.98132,1,1,0,6.9288,0.185367
-7.79041,0.912716,0.98132,2,3,0,7.98646,0.451476
-7.59531,1,0.98132,1,1,0,7.98586,0.430491
-6.85128,1,0.98132,2,3,0,7.34473,0.30945
-7.11808,0.915834,0.98132,1,1,0,7.12659,0.366226
-6.86023,0.954573,0.98132,1,3,0,7.36606,0.194118
-7.07274,0.954155,0.98132,1,1,0,7.07365,0.15928
-7.05079,1,0.98132,2,3,0,7.13114,0.162041
-7.44571,0.928765,0.98132,1,1,0,7.45023,0.124592
-6.75063,0.9845,0.98132,1,3,0,7.44351,0.24104
-6.75006,1,0.98132,2,3,0,6.75092,0.242084
-7.20846,0.923035,0.98132,2,3,0,7.30359,0.14446
-6.89782,1,0.98132,1,1,0,7.14303,0.18607
-7.35792,0.931365,0.98132,1,3,0,7.36159,0.131277
-6.95855,1,0.98132,1,1,0,7.27848,0.175273
-6.74982,0.992392,0.98132,1,3,0,6.96998,0.257556
-6.74857,0.999614,0.98132,2,3,0,6.75244,0.254144
-9.61952,0.502713,0.98132,1,3,0,9.80482,0.590724
-7.54533,1,0.98132,2,3,0,9.29389,0.117735
-8.26788,0.905021,0.98132,1,1,0,8.27814,0.0821964
-6.83858,0.896776,0.98132,2,3,0,9.80102,0.199478
-6.74822,0.998905,0.98132,2,3,0,6.84328,0.247487
-6.76523,0.973808,0.98132,2,3,0,6.89505,0.227302
-6.76322,0.967984,0.98132,2,3,0,6.95456,0.272202
-7.57002,0.81754,0.98132,1,3,0,7.59677,0.427608
-6.74819,1,0.98132,1,3,0,7.39549,0.252306
-6.75407,0.9352,0.98132,2,3,0,7.09246,0.236428
-6.77342,0.994885,0.98132,1,1,0,6.77343,0.222559
-7.83263,0.766956,0.98132,1,3,0,8.04636,0.455758
-6.74906,1,0.98132,1,3,0,7.57949,0.255716
-7.12483,0.902099,0.98132,1,3,0,7.25049,0.15318
-7.71055,0.902463,0.98132,1,1,0,7.71092,0.107714
-8.57722,0.896501,0.98132,1,1,0,8.58429,0.0716431
-6.8744,1,0.98132,2,3,0,8.47109,0.190924
-6.77713,1,0.98132,2,3,0,6.84804,0.280939
-6.97929,0.954265,0.98132,1,3,0,6.97938,0.340667
-6.80223,1,0.98132,1,1,0,6.92519,0.29258
-6.78436,1,0.98132,2,3,0,6.80461,0.284662
-6.74802,0.998135,0.98132,2,3,0,6.79505,0.250266
-6.80449,0.985559,0.98132,1,3,0,6.81251,0.293489
-7.04563,0.886383,0.98132,2,3,0,7.42651,0.162709
-6.76205,1,0.98132,1,3,0,7.00197,0.22946
-6.905,0.979327,0.98132,2,3,0,6.9343,0.323977
-6.79962,1,0.98132,2,3,0,6.87659,0.211349
-6.87554,0.971915,0.98132,1,3,0,6.99798,0.316361
-7.93101,0.696187,0.98132,1,1,0,7.9311,0.46543
-7.85104,1,0.98132,1,1,0,8.27633,0.4576
-7.85104,0.297338,0.98132,1,1,0,10.1077,0.4576
-7.31716,1,0.98132,1,1,0,7.79242,0.396069
